,Country,Location,Coordinates,Operational date,Number of rocket launches,Heaviest rocket launched,Highest achieved altitude,Notes,coordinates (dms),lat (dms),long (dms),coordinates (decimal),lat (decimal),long (decimal),rotational_vel
10,China,Taiyuan Satellite Launch Center,39°08′36″N 111°58′03″E﻿ / ﻿39.14321°N 111.96741°E,1980–,,249 000 kg,Orbital,Polar satellites[9],39°08′36″N 111°58′03″E﻿ ,39°08′36″N,111°58′03″E﻿, ﻿39.14321°N 111.96741°E,39.14321,111.96741,360.7191292466032
11,China,Xichang Satellite Launch Center,28°14′47″N 102°01′41″E﻿ / ﻿28.24646°N 102.02814°E,1984–,,459 000 kg,Lunar,"Geo-synchronous satellites, lunar probes.[10][11]",28°14′47″N 102°01′41″E﻿ ,28°14′47″N,102°01′41″E﻿, ﻿28.24646°N 102.02814°E,28.24646,102.02814,409.7173171377335
12,China,Wenchang Satellite Launch Center,19°36′52.17″N 110°57′4.08″E﻿ / ﻿19.6144917°N 110.9511333°E,2016–,,879 000 kg,Interplanetary,New site on Hainan Island with pads for Long March 5 and Long March 7 rockets,19°36′52.17″N 110°57′4.08″E﻿ ,19°36′52.17″N,110°57′4.08″E﻿, ﻿19.6144917°N 110.9511333°E,19.6144917,110.9511333,438.1129794894073
13,China,Jingyu,42°00′N 126°30′E﻿ / ﻿42.0°N 126.5°E,,,,,,42°00′N 126°30′E﻿ ,42°00′N,126°30′E﻿, ﻿42.0°N 126.5°E,42.0,126.5,345.63786826061795
14,India,"Vikram Sarabhai Space Centre, Thiruvananthapuram (Thumba), Kerala",8°31′53″N 76°52′08″E﻿ / ﻿8.5314°N 76.8690°E,1962–,,,,[12],8°31′53″N 76°52′08″E﻿ ,8°31′53″N,76°52′08″E﻿, ﻿8.5314°N 76.8690°E,8.5314,76.8690,459.9551438925034
15,India,"Satish Dhawan Space Centre (Sriharikota), Andhra Pradesh",13°44′15″N 80°14′06″E﻿ / ﻿13.73740°N 80.23510°E,1971–,,"690, 000 kg",Interplanetary,Satellites and lunar probes;[13],13°44′15″N 80°14′06″E﻿ ,13°44′15″N,80°14′06″E﻿, ﻿13.73740°N 80.23510°E,13.73740,80.23510,451.7970780060084
16,India,"Dr.Abdul Kalam Island, Bhadrak, Odisha",20°45′29″N 87°05′08″E﻿ / ﻿20.75804°N 87.085533°E,,,,,Military testing facility;[14][circular reference],20°45′29″N 87°05′08″E﻿ ,20°45′29″N,87°05′08″E﻿, ﻿20.75804°N 87.085533°E,20.75804,87.085533,434.90978140362165
17,Indonesia,"LAPAN Rocket Launcher Station, Pameungpeuk, Garut",7°38′48″S 107°41′20″E﻿ / ﻿7.646643°S 107.689018°E,1965–,,765 kg,100 km,,7°38′48″S 107°41′20″E﻿ ,7°38′48″S,107°41′20″E﻿, ﻿7.646643°S 107.689018°E,-7.646643,107.689018,460.9657329813822
18,Iran,Qom Space Center,34°39′00″N 50°54′00″E﻿ / ﻿34.65000°N 50.90000°E,1991,,,,Military testing[15],34°39′00″N 50°54′00″E﻿ ,34°39′00″N,50°54′00″E﻿, ﻿34.65000°N 50.90000°E,34.65000,50.90000,382.61144429133844
19,Iran,Emamshahr Space Center,36°25′12″N 55°01′12″E﻿ / ﻿36.42000°N 55.02000°E,1998,,,,Military testing and sounding rockets for ISA.[16],36°25′12″N 55°01′12″E﻿ ,36°25′12″N,55°01′12″E﻿, ﻿36.42000°N 55.02000°E,36.42000,55.02000,374.2610506047921
20,Iran,Semnan spaceport,35°14′05″N 53°55′15″E﻿ / ﻿35.234631°N 53.920941°E,2009–,,,Orbital,,35°14′05″N 53°55′15″E﻿ ,35°14′05″N,53°55′15″E﻿, ﻿35.234631°N 53.920941°E,35.234631,53.920941,379.89330711624046
21,Iraq,Al-Anbar Test Center,32°46′56″N 44°17′59″E﻿ / ﻿32.78220°N 44.29962°E,1989,,,,Out of function[17],32°46′56″N 44°17′59″E﻿ ,32°46′56″N,44°17′59″E﻿, ﻿32.78220°N 44.29962°E,32.78220,44.29962,391.0271497240299
22,Israel,Palmachim Air Force Base,31°53′05″N 34°40′49″E﻿ / ﻿31.88484°N 34.68020°E,1987–,,70 000 kg,Orbital,[18],31°53′05″N 34°40′49″E﻿ ,31°53′05″N,34°40′49″E﻿, ﻿31.88484°N 34.68020°E,31.88484,34.68020,394.92313107117053
23,Japan,Akita Rocket Range,39°34′17″N 140°03′28″E﻿ / ﻿39.57148°N 140.05785°E,1956–1990,,,343 km,,39°34′17″N 140°03′28″E﻿ ,39°34′17″N,140°03′28″E﻿, ﻿39.57148°N 140.05785°E,39.57148,140.05785,358.51449102700906
24,Japan,Uchinoura Space Center,31°15′07″N 131°04′45″E﻿ / ﻿31.25186°N 131.07914°E,1962–,,139 000 kg,Interplanetary,[19],31°15′07″N 131°04′45″E﻿ ,31°15′07″N,131°04′45″E﻿, ﻿31.25186°N 131.07914°E,31.25186,131.07914,397.61306996521245
25,Japan,"Tanegashima Space Center, Tanegashima Island",30°23′27″N 130°58′05″E﻿ / ﻿30.39096°N 130.96813°E,1967–,,445 000 kg,Interplanetary,[20],30°23′27″N 130°58′05″E﻿ ,30°23′27″N,130°58′05″E﻿, ﻿30.39096°N 130.96813°E,30.39096,130.96813,401.19364095462765
26,Japan,Ryori[21],39°01′48″N 141°49′48″E﻿ / ﻿39.03000°N 141.83000°E,1970–2001,,,,Sounding rocket launch site for the Japan Meteorological Agency,39°01′48″N 141°49′48″E﻿ ,39°01′48″N,141°49′48″E﻿, ﻿39.03000°N 141.83000°E,39.03000,141.83000,361.2985461404985
27,Japan,Niijima [ja],34°20′16″N 139°15′57″E﻿ / ﻿34.33766°N 139.26575°E,1963–1965,,,,Eighteen launches of small rockets[22][23],34°20′16″N 139°15′57″E﻿ ,34°20′16″N,139°15′57″E﻿, ﻿34.33766°N 139.26575°E,34.33766,139.26575,384.04730485316315
28,Japan,Obachi[citation needed],40°42′12″N 141°22′10″E﻿ / ﻿40.70342°N 141.36938°E,,,,,,40°42′12″N 141°22′10″E﻿ ,40°42′12″N,141°22′10″E﻿, ﻿40.70342°N 141.36938°E,40.70342,141.36938,352.5914098930121
29,Soviet Union/ Kazakhstan (Operated by Russia),"Baikonur Cosmodrome, Tyuratam",45°57′19″N 63°21′01″E﻿ / ﻿45.95515°N 63.35028°E,1957–,,2 400 000 kg,Interplanetary,"First satellite, first human. Operated by Russia.[24]",45°57′19″N 63°21′01″E﻿ ,45°57′19″N,63°21′01″E﻿, ﻿45.95515°N 63.35028°E,45.95515,63.35028,323.34853179616675
30,Soviet Union/ Kazakhstan,Sary Shagan[citation needed],46°22′48″N 72°52′12″E﻿ / ﻿46.38000°N 72.87000°E,1958–,,,,,46°22′48″N 72°52′12″E﻿ ,46°22′48″N,72°52′12″E﻿, ﻿46.38000°N 72.87000°E,46.38000,72.87000,320.86072312854867
31,North Korea,Musudan-ri,40°51′21″N 129°39′57″E﻿ / ﻿40.85572°N 129.66587°E,1998–,,,,Military rockets; satellite launch[25],40°51′21″N 129°39′57″E﻿ ,40°51′21″N,129°39′57″E﻿, ﻿40.85572°N 129.66587°E,40.85572,129.66587,351.7839176488373
32,North Korea,Sohae,39°39′36″N 124°42′18″E﻿ / ﻿39.660°N 124.705°E,2012–,,,,Military rockets; satellite launch[26],39°39′36″N 124°42′18″E﻿ ,39°39′36″N,124°42′18″E﻿, ﻿39.660°N 124.705°E,39.660,124.705,358.0563078165325
33,South Korea,Anhueng,36°42′08″N 126°28′18″E﻿ / ﻿36.70211°N 126.47158°E,1993–,,,,,36°42′08″N 126°28′18″E﻿ ,36°42′08″N,126°28′18″E﻿, ﻿36.70211°N 126.47158°E,36.70211,126.47158,372.8969211264086
34,South Korea,"Naro Space Center, Gohueng",34°25′33″N 127°31′41″E﻿ / ﻿34.42585°N 127.52793°E,2008,,,Orbital,Attempted satellite launches[27],34°25′33″N 127°31′41″E﻿ ,34°25′33″N,127°31′41″E﻿, ﻿34.42585°N 127.52793°E,34.42585,127.52793,383.6430403888439
35,Maldives,Gan Island,0°41′36″S 73°09′24″E﻿ / ﻿0.69328°S 73.15672°E,,,,,Several rockets of the Kookaburra type were launched from a pad at 0°41' S and 73°9' E[28],0°41′36″S 73°09′24″E﻿ ,0°41′36″S,73°09′24″E﻿, ﻿0.69328°S 73.15672°E,-0.69328,73.15672,465.06758066869827
36,Pakistan,"Sonmiani Satellite Launch Center, Las Bela, Balochistan",25°11′33″N 66°44′56″E﻿ / ﻿25.19242°N 66.74881°E,1960s –[29],,,,"Sounding rockets, missile testing, for SUPARCO.[30]",25°11′33″N 66°44′56″E﻿ ,25°11′33″N,66°44′56″E﻿, ﻿25.19242°N 66.74881°E,25.19242,66.74881,420.86273024201716
37,Pakistan,"Tilla Satellite Launch Center, Jhelum District, Punjab",33°23′46″N 73°17′46″E﻿ / ﻿33.39610°N 73.29608°E,1980s –[31],,,,"Sounding rockets, missile testing, for SUPARCO.[32]",33°23′46″N 73°17′46″E﻿ ,33°23′46″N,73°17′46″E﻿, ﻿33.39610°N 73.29608°E,33.39610,73.29608,388.30652691364287
38,Soviet Union,Kheysa[citation needed],80°27′00″N 58°03′00″E﻿ / ﻿80.45000°N 58.05000°E,1956–1980,,,,,80°27′00″N 58°03′00″E﻿ ,80°27′00″N,58°03′00″E﻿, ﻿80.45000°N 58.05000°E,80.45000,58.05000,77.16419229256991
39,Soviet Union/ Russia,"Svobodny Cosmodrome, Amur Oblast",51°50′04″N 128°16′33″E﻿ / ﻿51.83441°N 128.27570°E,1957–2007,,47 000 kg,Orbital,ICBM base converted for satellites[33],51°50′04″N 128°16′33″E﻿ ,51°50′04″N,128°16′33″E﻿, ﻿51.83441°N 128.27570°E,51.83441,128.27570,287.40319014524164
40,Soviet Union,Sovetskaya Gavan,48°58′12″N 140°18′00″E﻿ / ﻿48.97000°N 140.30000°E,1963–1964,,,402 km,,48°58′12″N 140°18′00″E﻿ ,48°58′12″N,140°18′00″E﻿, ﻿48.97000°N 140.30000°E,48.97000,140.30000,305.31787258318946
41,Soviet Union/ Russia,Okhotsk[citation needed],59°22′N 143°15′E﻿ / ﻿59.367°N 143.250°E,1981–2005,,,1000 km,,59°22′N 143°15′E﻿ ,59°22′N,143°15′E﻿, ﻿59.367°N 143.250°E,59.367,143.250,236.98652694335004
42,Russia,"Yasny Cosmodrome (formerly Dombarovskiy), Orenburg Oblast",51°12′25″N 59°51′00″E﻿ / ﻿51.20706°N 59.85003°E,2006–,,211 000 kg,Orbital,ICBM base converted for satellites[34],51°12′25″N 59°51′00″E﻿ ,51°12′25″N,59°51′00″E﻿, ﻿51.20706°N 59.85003°E,51.20706,59.85003,291.389786831854
43,Russia,"Vostochny Cosmodrome, Amur Oblast, Russia[35]",51°52′59″N 128°19′59″E﻿ / ﻿51.883°N 128.333°E,28 April 2016[36]–,,,,Facility on Russian territory to supplement Baikonur Cosmodrome in Kazakhstan,51°52′59″N 128°19′59″E﻿ ,51°52′59″N,128°19′59″E﻿, ﻿51.883°N 128.333°E,51.883,128.333,287.09297330269317
44,Taiwan,Haiqian,22°06′N 120°54′E﻿ / ﻿22.10°N 120.90°E,1988–,,10 000 kg,300 km,Science and technology development,22°06′N 120°54′E﻿ ,22°06′N,120°54′E﻿, ﻿22.10°N 120.90°E,22.10,120.90,430.92997472094
45,Bulgaria,Ahtopol,42°05′09″N 27°57′18″E﻿ / ﻿42.085846°N 27.955125°E,1984 - 1990,28,475 kg,90 km,,42°05′09″N 27°57′18″E﻿ ,42°05′09″N,27°57′18″E﻿, ﻿42.085846°N 27.955125°E,42.085846,27.955125,345.1711903847652
46,France,Ile du Levant,43°02′42″N 6°28′44″E﻿ / ﻿43.04507°N 6.47887°E,1948–[citation needed],,,,,43°02′42″N 6°28′44″E﻿ ,43°02′42″N,6°28′44″E﻿, ﻿43.04507°N 6.47887°E,43.04507,6.47887,339.9041774559855
47,Germany,"Rocket Launch Site Berlin, Berlin-Tegel",52°21′00″N 13°12′36″E﻿ / ﻿52.35000°N 13.21000°E,1930–1933,,,4 km,,52°21′00″N 13°12′36″E﻿ ,52°21′00″N,13°12′36″E﻿, ﻿52.35000°N 13.21000°E,52.35000,13.21000,284.1009737543041
48,Germany,Peenemünde/Greifswalder Oie,54°08′35″N 13°47′38″E﻿ / ﻿54.14300°N 13.79400°E,1942–1945,>3000,12 500 kg,175 km,"V-2 rockets during World War II, first rocket to reach space 20 June 1944",54°08′35″N 13°47′38″E﻿ ,54°08′35″N,13°47′38″E﻿, ﻿54.14300°N 13.79400°E,54.14300,13.79400,272.4399120594124
49,West Germany,Cuxhaven,53°50′56″N 8°35′30″E﻿ / ﻿53.84884°N 8.59154°E),1945–1964,,,>110 km,,53°50′56″N 8°35′30″E﻿ ,53°50′56″N,8°35′30″E﻿, ﻿53.84884°N 8.59154°E),53.84884,8.59154,274.3716292346588
50,West Germany,"Hespenbusch, Großenkneten",52°56′20″N 8°18′45″E﻿ / ﻿52.939002°N 8.312515°E,1952–1957,,,<10 km,,52°56′20″N 8°18′45″E﻿ ,52°56′20″N,8°18′45″E﻿, ﻿52.939002°N 8.312515°E,52.939002,8.312515,280.30043644995555
51,Germany,Zingst,54°26′24″N 12°47′04″E﻿ / ﻿54.44008°N 12.78431°E,1970–1992,67,130 kg,80 km,,54°26′24″N 12°47′04″E﻿ ,54°26′24″N,12°47′04″E﻿, ﻿54.44008°N 12.78431°E,54.44008,12.78431,270.48173133647197
52,Greece,Koroni,36°46′11″N 21°55′54″E﻿ / ﻿36.7698°N 21.9316°E,1966–1989,371,,114 km,,36°46′11″N 21°55′54″E﻿ ,36°46′11″N,21°55′54″E﻿, ﻿36.7698°N 21.9316°E,36.7698,21.9316,372.568263304242
53,Iceland,Vik,63°25′08″N 19°00′17″W﻿ / ﻿63.41891°N 19.00463°W,1964–1965,2,,,,63°25′08″N 19°00′17″W﻿ ,63°25′08″N,19°00′17″W﻿, ﻿63.41891°N 19.00463°W,63.41891,-19.00463,208.11621409821075
54,Italy,Salto di Quirra,39°31′38″N 9°37′59″E﻿ / ﻿39.52731°N 9.63303°E,1964–[citation needed],,,,,39°31′38″N 9°37′59″E﻿ ,39°31′38″N,9°37′59″E﻿, ﻿39.52731°N 9.63303°E,39.52731,9.63303,358.7427968221018
55,Norway,Andøya Space Center,69°17′39″N 16°01′15″E﻿ / ﻿69.29430°N 16.02070°E,1962–,>1200,800 kg,,Rockets to the upper atmosphere.[39],69°17′39″N 16°01′15″E﻿ ,69°17′39″N,16°01′15″E﻿, ﻿69.29430°N 16.02070°E,69.29430,16.02070,164.44500758205814
56,Norway,Marka,58°12′00″N 7°18′00″E﻿ / ﻿58.20000°N 7.30000°E,1983–1984,,16 kg,,,58°12′00″N 7°18′00″E﻿ ,58°12′00″N,7°18′00″E﻿, ﻿58.20000°N 7.30000°E,58.20000,7.30000,245.08799843428386
57,Norway,SvalRak,78°13′24″N 15°38′49″E﻿ / ﻿78.2234°N 15.6470°E,1997–[citation needed],,,,,78°13′24″N 15°38′49″E﻿ ,78°13′24″N,15°38′49″E﻿, ﻿78.2234°N 15.6470°E,78.2234,15.6470,94.9255021038341
58,Nazi-occupied Poland,SS-Proving Ground Westpreußen today Poland (Tuchola Forest),53°37′11″N 17°59′06″E﻿ / ﻿53.61970°N 17.98492°E,1944–1945,,,,Nazi-German V-2 rockets,53°37′11″N 17°59′06″E﻿ ,53°37′11″N,17°59′06″E﻿, ﻿53.61970°N 17.98492°E,53.61970,17.98492,275.8713587477607
59,Germany,Leba in Pommern since 1945 part of Poland,54°46′09″N 17°35′37″E﻿ / ﻿54.76904°N 17.59355°E,1941–1945,,,,Nazi-German rockets,54°46′09″N 17°35′37″E﻿ ,54°46′09″N,17°35′37″E﻿, ﻿54.76904°N 17.59355°E,54.76904,17.59355,268.3049340467051
60,Poland,Łeba-Rąbka[citation needed],54°45′16″N 17°31′05″E﻿ / ﻿54.754486°N 17.517919°E,1963–1973,36,,,Polish rockets,54°45′16″N 17°31′05″E﻿ ,54°45′16″N,17°31′05″E﻿, ﻿54.754486°N 17.517919°E,54.754486,17.517919,268.4014284382465
61,Nazi-occupied Poland,"V-2 missile launch site, Blizna",50°10′55″N 21°36′58″E﻿ / ﻿50.18190°N 21.61620°E,1943–1944[citation needed],139,,,Nazi-German V-2 rockets,50°10′55″N 21°36′58″E﻿ ,50°10′55″N,21°36′58″E﻿, ﻿50.18190°N 21.61620°E,50.18190,21.61620,297.82893071320757
62,Soviet Union/ Russia,"Kapustin Yar Cosmodrome, Astrakhan Oblast",48°34′41″N 46°15′15″E﻿ / ﻿48.57807°N 46.25420°E,1957–[citation needed],,,Orbital,Previously for satellite launches[40],48°34′41″N 46°15′15″E﻿ ,48°34′41″N,46°15′15″E﻿, ﻿48.57807°N 46.25420°E,48.57807,46.25420,307.71073598042216
63,Soviet Union/ Russia,Nyonoksa,64°38′57″N 39°11′14″E﻿ / ﻿64.64928°N 39.18721°E,1965–1997[citation needed],,,,,64°38′57″N 39°11′14″E﻿ ,64°38′57″N,39°11′14″E﻿, ﻿64.64928°N 39.18721°E,64.64928,39.18721,199.13699114151086
64,Soviet Union/ Russia,Plesetsk Cosmodrome,62°55′32″N 40°34′40″E﻿ / ﻿62.92556°N 40.57778°E,1966–,>1000,760 000 kg,Orbital,,62°55′32″N 40°34′40″E﻿ ,62°55′32″N,40°34′40″E﻿, ﻿62.92556°N 40.57778°E,62.92556,40.57778,211.68995142428435
65,Spain,El Arenosillo,37°05′49″N 6°44′19″W﻿ / ﻿37.09687°N 6.73863°W,1966–[citation needed],>500,,720 km[41],,37°05′49″N 6°44′19″W﻿ ,37°05′49″N,6°44′19″W﻿, ﻿37.09687°N 6.73863°W,37.09687,-6.73863,370.9729095839448
66,Sweden,Nausta,66°21′26″N 19°16′33″E﻿ / ﻿66.357202°N 19.275813°E,1961–1961[citation needed],1,30 kg,<80 km,Arcas rocket for atmospheric research.[42],66°21′26″N 19°16′33″E﻿ ,66°21′26″N,19°16′33″E﻿, ﻿66.357202°N 19.275813°E,66.357202,19.275813,186.52129314078323
67,Sweden,Kronogård,66°24′53″N 19°16′36″E﻿ / ﻿66.4147°N 19.2767°E,1961–1964,18,700 kg,135 km,"Arcas, Nike-Cajun and Nike-Apache rockets for atmospheric research.",66°24′53″N 19°16′36″E﻿ ,66°24′53″N,19°16′36″E﻿, ﻿66.4147°N 19.2767°E,66.4147,19.2767,186.09363295017647
68,Sweden,"Esrange, Kiruna",67°53′36″N 21°06′15″E﻿ / ﻿67.89342°N 21.10429°E,1966–1972,150,700 kg,237 km,Operated by ESRO.[43],67°53′36″N 21°06′15″E﻿ ,67°53′36″N,21°06′15″E﻿, ﻿67.89342°N 21.10429°E,67.89342,21.10429,175.0320053180581
69,Sweden,"Esrange, Kiruna",67°53′36″N 21°06′15″E﻿ / ﻿67.89342°N 21.10429°E,1972–[citation needed],300,12 400 kg,717 km,"Operated by SSC.[43] Major programmes: Maxus, TEXUS, Maser, stratospheric balloons.",67°53′36″N 21°06′15″E﻿ ,67°53′36″N,21°06′15″E﻿, ﻿67.89342°N 21.10429°E,67.89342,21.10429,175.0320053180581
70,United Kingdom,"Highdown Test Site, Isle of Wight",50°39′50″N 1°34′35″W﻿ / ﻿50.6639345°N 1.5763664°W,1956–1971,0,,,This site was used for static tests of assembled rockets only prior to them being shipped to Australia for launch.[44],50°39′50″N 1°34′35″W﻿ ,50°39′50″N,1°34′35″W﻿, ﻿50.6639345°N 1.5763664°W,50.6639345,-1.5763664,294.8129690060837
71,United Kingdom,South Uist,57°19′48″N 7°19′48″W﻿ / ﻿57.33000°N 7.33000°W,1959–,1 (2015),approx 1300 kg plus payload,,First space launch from the UK took place from here in October 2015 as part of 'At Sea Demonstration 15' . The rocket was an American 'Terrier-Orion' sounding rocket.[45],57°19′48″N 7°19′48″W﻿ ,57°19′48″N,7°19′48″W﻿, ﻿57.33000°N 7.33000°W,57.33000,-7.33000,251.06168790226312
72,Canada,"Churchill Rocket Research Range, Manitoba",58°44′03″N 93°49′13″W﻿ / ﻿58.73430°N 93.82030°W,1954–1998,3500+,,,Canadian Army.[54],58°44′03″N 93°49′13″W﻿ ,58°44′03″N,93°49′13″W﻿, ﻿58.73430°N 93.82030°W,58.73430,-93.82030,241.39123270206076
73,Canada,"Resolute Bay, Nunavut",74°41′13″N 94°53′46″W﻿ / ﻿74.6870°N 94.8962°W,1966–1971,17,,,National Research Council Canada.[55],74°41′13″N 94°53′46″W﻿ ,74°41′13″N,94°53′46″W﻿, ﻿74.6870°N 94.8962°W,74.6870,-94.8962,122.82957001644817
74,Canada,"Hall Beach, Nunavut",68°46′34″N 81°14′36″W﻿ / ﻿68.77607°N 81.24346°W,1971–1971,7,,270 km,,68°46′34″N 81°14′36″W﻿ ,68°46′34″N,81°14′36″W﻿, ﻿68.77607°N 81.24346°W,68.77607,-81.24346,168.3732684147695
75,Canada,"Southend, Saskatchewan",56°20′N 103°14′W﻿ / ﻿56.333°N 103.233°W,1980–1980,2,1 200 kg,,,56°20′N 103°14′W﻿ ,56°20′N,103°14′W﻿, ﻿56.333°N 103.233°W,56.333,-103.233,257.83614047657795
76,Greenland ( Denmark),Thule Air Base,76°25′26″N 68°17′37″W﻿ / ﻿76.4240°N 68.2936°W,1964–1980,,,,Former US Air Force launch site[56],76°25′26″N 68°17′37″W﻿ ,76°25′26″N,68°17′37″W﻿, ﻿76.4240°N 68.2936°W,76.4240,-68.2936,109.17561133554422
77,United States,"Clark University Physics Laboratory, Worcester, Massachusetts",42°15′04″N 71°49′23″W﻿ / ﻿42.250977°N 71.823169°W,1914–1920s,~10,,,"Robert H. Goddard's first experimental rockets, starting with powder-based fuels. Was also site of liquid rocket engine tests before being launched in nearby Auburn.[57](p74)",42°15′04″N 71°49′23″W﻿ ,42°15′04″N,71°49′23″W﻿, ﻿42.250977°N 71.823169°W,42.250977,-71.823169,344.27132376915966
78,United States,"Goddard Test Site, Auburn, Massachusetts",42°13′08″N 71°48′43″W﻿ / ﻿42.21882°N 71.81194°W,1925–1930,5,,,Open field chosen as rocket test site in 1925; launch site of Robert H. Goddard's first liquid fuel rockets beginning on 16 March 1926.[57](p143),42°13′08″N 71°48′43″W﻿ ,42°13′08″N,71°48′43″W﻿, ﻿42.21882°N 71.81194°W,42.21882,-71.81194,344.4467849148408
79,United States,"Eden Valley Test Site, Roswell, New Mexico",33°37′34″N 104°30′00″W﻿ / ﻿33.62600°N 104.50000°W,1930–1941,>30,,,Used for Goddard's later rocket tests.,33°37′34″N 104°30′00″W﻿ ,33°37′34″N,104°30′00″W﻿, ﻿33.62600°N 104.50000°W,33.62600,-104.50000,387.27618842871544
80,United States,"Wallops Flight Facility, Delmarva Peninsula, Virginia",37°50′46″N 75°28′46″W﻿ / ﻿37.84621°N 75.47938°W,1945–,1600+,,,"Now operated by NASA's Goddard Space Flight Center.[58] In 2019, Rocket Lab built their first US launch facility here.[59]",37°50′46″N 75°28′46″W﻿ ,37°50′46″N,75°28′46″W﻿, ﻿37.84621°N 75.47938°W,37.84621,-75.47938,367.2723543089949
81,United States,"White Sands Missile Range, New Mexico",32°33′53″N 106°21′33″W﻿ / ﻿32.56460°N 106.35908°W,1945–,7500+,,,Military and civilian flights. Served as alternate landing site for the Space Shuttle.[60],32°33′53″N 106°21′33″W﻿ ,32°33′53″N,106°21′33″W﻿, ﻿32.56460°N 106.35908°W,32.56460,-106.35908,391.98072861540453
82,United States,Nevada Test and Training Range (formerly Nellis Air Force Range),36°46′17″N 116°06′49″W﻿ / ﻿36.77150°N 116.11374°W,1946–1970s,2000+,,,[61],36°46′17″N 116°06′49″W﻿ ,36°46′17″N,116°06′49″W﻿, ﻿36.77150°N 116.11374°W,36.77150,-116.11374,372.5600025340429
83,United States,"Cape Canaveral Space Force Station, Florida",28°28′00″N 80°33′31″W﻿ / ﻿28.46675°N 80.55852°W,1949–,1000+,,Interstellar,Commercial and U.S. Government unmanned missions. Adjacent to NASA KSC.,28°28′00″N 80°33′31″W﻿ ,28°28′00″N,80°33′31″W﻿, ﻿28.46675°N 80.55852°W,28.46675,-80.55852,408.8679903865611
